Name,Domestic(actor),International(actor),Worldwide(actor)
xXx: Return of Xander Cage,"$1,323,338,433","$3,830,289,378","$5,153,627,811"
xXx: Return of Xander Cage,$0,"$25,040,000","$25,040,000"
Geostorm,"$292,683,312","$283,633,664","$576,316,976"
Geostorm,$0,$0,"$33,700,160"
The Fate of the Furious,"$1,323,338,433","$3,830,289,378","$5,153,627,811"
The Fate of the Furious,"$100,990,648","$133,450,656","$234,441,304"
The Mummy,"$1,284,826,648","$2,552,489,126","$3,837,315,774"
The Mummy,$0,$0,"$80,101,125"
Transformers: The Last Knight,"$492,869,237","$234,728,472","$727,597,709"
Transformers: The Last Knight,$0,$0,$0
Kong: Skull Island,$0,$0,$0
Kong: Skull Island,"$689,602","$218,124","$907,726"
A Dog’s Purpose,"$1,255,682,482","$1,587,645,612","$2,843,328,094"
A Dog’s Purpose,"$529,512,669","$523,863,020","$1,053,375,689"
