item,rank,value,name
Top 100 Stars in Leading Roles at the Domestic Box Office,19,"$2,524,504,459",Vin-Diesel
Top Above the Line Stars at the Domestic Box Office,25,"$2,782,660,959",Vin-Diesel
Top Stars at the Domestic Box Office,81,"$2,950,535,944",Vin-Diesel
Top 100 Stars in Leading Roles at the International Box Office,8,"$5,087,263,843",Vin-Diesel
Top Live Action Stars at the International Box Office,46,"$4,528,983,642",Vin-Diesel
Top Above the Line Stars at the International Box Office,13,"$5,427,583,594",Vin-Diesel
Top Stars at the International Box Office,37,"$5,535,426,203",Vin-Diesel
Top 100 Stars in Leading Roles at the Worldwide Box Office,10,"$7,611,768,302",Vin-Diesel
Top Live Action Stars at the Worldwide Box Office,68,"$6,642,282,359",Vin-Diesel
Top Above the Line Stars at the Wordwide Box Office,16,"$8,210,244,553",Vin-Diesel
Top Stars at the Worldwide Box Office,45,"$8,485,962,147",Vin-Diesel
Highest Grossing Stars of 2013 at the Domestic Box Office,31,213,Vin-Diesel
Highest Grossing Stars of 2014 at the Domestic Box Office,88,118,Vin-Diesel
Highest Grossing Stars of 2015 at the Domestic Box Office,15,227,Vin-Diesel
Highest Grossing Stars of 2017 at the Domestic Box Office,22,236,Vin-Diesel
Highest Grossing Stars of 2018 at the Domestic Box Office,71,127,Vin-Diesel
Highest Grossing Stars of 2013 at the International Box Office,28,210,Vin-Diesel
Highest Grossing Stars of 2014 at the International Box Office,67,116,Vin-Diesel
Highest Grossing Stars of 2015 at the International Box Office,7,262,Vin-Diesel
Highest Grossing Stars of 2016 at the International Box Office,49,146,Vin-Diesel
Highest Grossing Stars of 2017 at the International Box Office,3,322,Vin-Diesel
Highest Grossing Stars of 2018 at the International Box Office,21,176,Vin-Diesel
Highest Grossing Stars of 2013 at the Worldwide Box Office,28,213,Vin-Diesel
Highest Grossing Stars of 2014 at the Worldwide Box Office,73,119,Vin-Diesel
Highest Grossing Stars of 2015 at the Worldwide Box Office,8,259,Vin-Diesel
Highest Grossing Stars of 2016 at the Worldwide Box Office,56,140,Vin-Diesel
Highest Grossing Stars of 2017 at the Worldwide Box Office,4,312,Vin-Diesel
Highest Grossing Stars of 2018 at the Worldwide Box Office,28,172,Vin-Diesel
Top Grossing Executive Producer at the Domestic Box Office (Rank 801-900),812,"$141,930,000",Vin-Diesel
Top Grossing Producer at the Domestic Box Office,57,"$1,323,338,433",Vin-Diesel
"Top Grossing Executive Producer at the International Box Office (Rank 1,001-1,100)",1032,"$125,270,000",Vin-Diesel
Top Grossing Producer at the International Box Office,13,"$3,830,289,378",Vin-Diesel
"Top Grossing Executive Producer at the Worldwide Box Office (Rank 901-1,000)",921,"$267,200,000",Vin-Diesel
Top Grossing Producer at the Worldwide Box Office,23,"$5,153,627,811",Vin-Diesel
Top 100 Stars in Leading Roles at the Domestic Box Office (Rank 201-300),246,"$633,814,787",Donnie-Yen
"Top Stars at the Domestic Box Office (Rank 1,301-1,400)",1301,"$803,934,812",Donnie-Yen
Top 100 Stars in Leading Roles at the International Box Office (Rank 101-200),139,"$1,297,572,697",Donnie-Yen
Top Stars at the International Box Office (Rank 601-700),658,"$1,602,975,782",Donnie-Yen
Top 100 Stars in Leading Roles at the Worldwide Box Office (Rank 101-200),173,"$1,931,387,484",Donnie-Yen
Top Stars at the Worldwide Box Office (Rank 801-900),838,"$2,406,910,594",Donnie-Yen
Highest Grossing Stars of 2017 at the Domestic Box Office,85,138,Donnie-Yen
Highest Grossing Stars of 2018 at the Domestic Box Office,61,138,Donnie-Yen
Highest Grossing Stars of 2016 at the International Box Office,33,160,Donnie-Yen
Highest Grossing Stars of 2017 at the International Box Office,17,236,Donnie-Yen
Highest Grossing Stars of 2018 at the International Box Office,26,169,Donnie-Yen
Highest Grossing Stars of 2016 at the Worldwide Box Office,48,151,Donnie-Yen
Highest Grossing Stars of 2017 at the Worldwide Box Office,23,225,Donnie-Yen
Highest Grossing Stars of 2018 at the Worldwide Box Office,27,173,Donnie-Yen
