Name,Domestic(actor),International(actor),Worldwide(actor)
xXx: Return of Xander Cage,"$1,323,338,433","$3,830,289,378","$5,153,627,811"
Geostorm,$0,"$25,040,000","$25,040,000"
The Fate of the Furious,"$292,683,312","$283,633,664","$576,316,976"
The Mummy,$0,$0,"$33,700,160"
Transformers: The Last Knight,"$1,323,338,433","$3,830,289,378","$5,153,627,811"
Pirates of the Caribbean: Dead Men Tell No Tales,"$100,990,648","$133,450,656","$234,441,304"
A Dog’s Purpose,"$1,284,826,648","$2,552,489,126","$3,837,315,774"
xXx: Return of Xander Cage,$0,$0,"$80,101,125"
Geostorm,"$492,869,237","$234,728,472","$727,597,709"
The Fate of the Furious,$0,$0,$0
The Mummy,"$174,397,605","$295,793,713","$470,191,318"
Transformers: The Last Knight,$0,"$363,720","$363,720"
Pirates of the Caribbean: Dead Men Tell No Tales,"$1,255,682,482","$1,587,645,612","$2,843,328,094"
A Dog’s Purpose,"$529,512,669","$523,863,020","$1,053,375,689"
