序号,楼盘名称,城区,签约套数,预定套数,签约面积,签约均价
1,,滨江,18,0,2178.61,23757
2,,滨江,13,0,629.55㎡,17398
3,,拱墅,12,0,1052.72㎡,10457
4,,下沙,8,0,743.05㎡,10457
5,,江干,7,8,609.97㎡,10238
6,,拱墅,5,0,346.72㎡,22681
7,之江九里,之江,4,0,358.08㎡,17747
8,绿城巧园,滨江,4,0,353.83㎡,16858
9,万科西庐,西湖,4,1,404.45㎡,22596
10,,滨江,4,0,346.18㎡,22345
11,,之江,4,0,356.99㎡,9530
12,绿城兰园,下城,4,0,357.54㎡,42924
13,,西湖,6,0,673.66㎡,31601
14,,滨江,4,4,483.78㎡,19595
15,,拱墅,3,5,266.34㎡,13039
16,,拱墅,3,0,474.16㎡,30714
17,,拱墅,3,0,267.85㎡,23375
18,滨江紫金府,西湖,3,0,318.31㎡,24619
19,,江干,3,0,294.09㎡,17211
20,,江干,3,0,259.44㎡,12178
21,万科紫台,江干,3,0,304.39㎡,18594
22,,滨江,3,0,146.09㎡,14444
23,德信东望,江干,3,0,269.14㎡,17704
24,,拱墅,3,0,265.5㎡,17457
25,,下城,3,0,265.62㎡,20003
26,,江干,3,0,266.46㎡,13745
27,大家多立方,江干,2,0,169.1㎡,14678
28,绿城丽江公寓,江干,2,0,164.76㎡,16500
29,野风现代中心,下城,2,0,100.46㎡,20254
30,,下城,2,0,84.99㎡,11230
31,华鸿罗兰春天,江干,2,0,199.39㎡,13251
32,,滨江,2,0,601.56㎡,18285
33,,拱墅,2,0,176.76㎡,18399
34,,下沙,2,0,166.5㎡,10505
35,万银双子中心,江干,2,0,179.72㎡,20600
36,新中宇维萨,江干,2,0,178.69㎡,20314
37,,拱墅,2,0,651.99㎡,60122
38,,拱墅,2,0,177.77㎡,19297
39,,西湖,2,0,102.14㎡,15482
40,,下沙,2,0,178.26㎡,9877
41,,拱墅,2,0,280.26㎡,18130
42,莱茵矩阵国际,拱墅,2,0,529.84㎡,21987
43,,下城,2,0,176.73㎡,23473
44,,江干,2,0,101.28㎡,12786
45,,拱墅,2,0,181.03㎡,21312
46,,江干,2,0,178.49㎡,12213
47,,下沙,2,2,135.9㎡,9182
48,,拱墅,2,2,177.82㎡,17699
49,贺田尚城,滨江,1,0,138.24㎡,18301
50,,滨江,1,0,84.11㎡,21043
51,,下沙,1,0,136.76㎡,10200
52,坤和,西湖,1,0,64.53㎡,19680
53,金都城市芯宇,西湖,1,0,53.62㎡,27635
54,德信泊林印象,江干,1,0,121.52㎡,14478
55,,拱墅,1,0,88.55㎡,16107
56,,下城,1,0,137.08㎡,24073
57,,下沙,1,0,424.3㎡,19090
58,万亚,下沙,1,0,47.35㎡,13800
59,德信臻园,拱墅,1,0,216.85㎡,27115
60,世茂钱塘帝景,滨江,1,0,89.87㎡,18043
61,,拱墅,1,0,55.93㎡,9922
62,,拱墅,1,0,88.12㎡,28520
63,中豪四季公馆,江干,1,0,129.89㎡,12549
64,,拱墅,1,0,42.66㎡,18049
65,远洋大河宸章,拱墅,1,0,191.69㎡,29624
66,滨江金色黎明,江干,1,0,138.72㎡,17444
67,,之江,1,0,249.92㎡,46014
68,,西湖,1,0,89.93㎡,15002
69,,滨江,1,0,89.76㎡,20860
70,,拱墅,1,0,148.22㎡,34800
71,广宇东承府,江干,1,0,235.33㎡,17719
72,,之江,1,0,87.36㎡,15653
73,佳美中心,下城,1,0,57.15㎡,22117
74,,下城,1,0,160.14㎡,43727
75,,上城,1,0,38.86㎡,31521
76,,之江,1,0,74.55㎡,13231
77,,上城,1,0,89.65㎡,41040
78,,拱墅,1,0,89.56㎡,20500
79,,江干,1,0,119.56㎡,17397
80,,拱墅,1,0,89.82㎡,17170
81,,江干,1,0,89.21㎡,16757
82,,江干,1,0,29.56㎡,14390
83,万科公园大道,江干,1,0,131.52㎡,21593
84,,滨江,1,0,89.69㎡,18285
85,,西湖,1,0,184.39㎡,30641
86,,拱墅,1,0,86.44㎡,12473
87,景瑞,拱墅,1,0,89.18㎡,21529
88,,西湖,0,1,0㎡,0
89,,下城,0,1,0㎡,0
90,东方铭楼,下沙,0,16,0㎡,0
